Wall time,Step,Value
1687514699.696216,4096,-0.8961620926856995
1687514733.434707,5120,-0.9708912968635559
1687514935.335144,11264,-0.9661081433296204
1687515065.5311072,15360,-0.9693321585655212
1687515095.316871,16384,-0.9724963307380676
1687515189.703437,19456,-0.9738543033599854
1687515219.780044,20480,-0.965448260307312
1687515251.483819,21504,-0.9641231894493103
1687515314.388476,23552,-0.9547486901283264
1687515345.7480829,24576,-0.9565174579620361
1687515440.472337,27648,-0.9439260363578796
1687515470.498223,28672,-0.8892567157745361
1687515810.80179,39936,-0.9489656686782837
1687515872.551222,41984,-0.8559378981590271
1687516101.405538,49152,-0.9119291305541992
1687516136.27762,50176,-0.8885323405265808
1687516169.870713,51200,-0.8779028058052063
1687516236.53768,53248,-0.8778157830238342
1687516335.2011158,56320,-0.797084629535675
1687516433.917174,59392,-0.8818138241767883
1687516533.4359171,62464,-0.8498564958572388
1687516567.326559,63488,-0.8453855514526367
1687516600.005018,64512,-0.8814402222633362
1687516633.857642,65536,-0.7662675976753235
1687516700.198081,67584,-0.8444679379463196
1687516733.6830451,68608,-0.7954517602920532
1687516768.6742551,69632,-0.7523344159126282
1687516801.393235,70656,-0.8249549269676208
1687516865.5627542,72704,-0.8304187059402466
1687516896.9038851,73728,-0.833847165107727
1687517090.523201,79872,-0.7791228294372559
1687517157.545782,81920,-0.6452038288116455
1687517252.479077,84992,-0.5419512391090393
1687517350.581273,88064,-0.7116844058036804
1687517479.8564491,92160,-0.6773045659065247
1687517806.5009558,102400,-0.6609315872192383
1687517938.399523,106496,-0.6731938123703003
1687518035.003273,109568,-0.6813769936561584
1687518068.218734,110592,-0.7415568232536316
1687518134.039026,112640,-0.6397201418876648
1687518357.8001091,119808,-0.6062290668487549
1687518521.22324,124928,-0.7741223573684692
1687518648.787997,129024,-0.587994396686554
1687518680.832669,130048,-0.7246170043945312
1687518745.040716,132096,-0.7580302357673645
1687518810.956237,134144,-0.5645022988319397
1687519002.077344,140288,-0.5986061692237854
1687519034.6493618,141312,-0.4600899815559387
1687519261.533685,148480,-0.5995209217071533
1687519325.845203,150528,-0.5062845349311829
1687519356.3807511,151552,-0.5401997566223145
1687519449.245506,154624,-0.1876702457666397
1687519670.753078,161792,-0.41805118322372437
1687519767.013458,164864,-0.3254925608634949
1687519831.690155,166912,-0.21625013649463654
1687519893.968361,168960,-0.07292278856039047
1687520084.1388428,175104,-0.2828539311885834
1687520114.864904,176128,-0.11287423223257065
1687520146.968978,177152,-0.32766786217689514
1687520308.202415,182272,-0.2466464787721634
1687520436.2918432,186368,0.022992340847849846
1687520532.491759,189440,-0.02093563973903656
1687520564.9155278,190464,0.14678262174129486
1687520596.694825,191488,0.2730712890625
1687520723.670187,195584,0.00530449440702796
1687520756.410291,196608,-0.023429127410054207
1687520787.7564569,197632,-0.2123512625694275
1687521012.882983,204800,0.1264619678258896
1687521108.833924,207872,-0.005085327662527561
1687521140.554176,208896,0.12033633887767792
1687521172.30521,209920,0.0020635025575757027
1687521204.175971,210944,-0.08487866073846817
1687521267.0472472,212992,0.28717830777168274
1687521397.372055,217088,0.1679435521364212
1687521464.362987,219136,0.1975608766078949
1687521531.688075,221184,0.1662703901529312
1687521672.9740942,225280,-0.24325431883335114
1687521704.996614,226304,0.3852391242980957
1687521736.769382,227328,-0.0749334767460823
1687521833.217358,230400,0.2518231272697449
1687521994.882653,235520,0.35346516966819763
1687522310.487993,245760,0.2131754606962204
1687522372.102259,247808,0.3022162616252899
1687522466.7366889,250880,0.2832910120487213
1687522498.887681,251904,0.6716177463531494
1687522530.5976698,252928,0.41336679458618164
1687522784.483427,261120,0.21004503965377808
1687522915.2794309,265216,0.6001086235046387
1687522947.1783712,266240,0.09065928310155869
1687522981.265045,267264,0.6314786076545715
1687523344.665118,278528,0.16238482296466827
1687523441.492526,281600,0.48531201481819153
1687523507.662762,283648,0.41909217834472656
1687523575.529004,285696,0.6333910226821899
1687523642.4107468,287744,0.6161519289016724
1687523710.890408,289792,0.8418241143226624
1687523813.865654,292864,0.43595680594444275
1687523914.2688708,295936,0.6802939176559448
1687523980.365941,297984,0.3902525305747986
1687524144.914312,303104,0.6976171135902405
1687524214.170132,305152,0.8346074223518372
1687524248.33533,306176,0.7523993253707886
1687524518.350632,314368,0.5525673627853394
1687524585.971431,316416,0.5944401025772095
1687524718.341217,320512,0.4724062383174896
1687524851.3029408,324608,0.6737155318260193
1687524915.8636138,326656,0.6744849681854248
1687524948.098044,327680,0.7677335143089294
1687525044.4322062,330752,0.41619163751602173
1687525528.007873,346112,0.7857151627540588
1687525559.5342772,347136,0.6255895495414734
1687525721.378818,352256,0.7252492308616638
1687525785.669246,354304,0.5584010481834412
1687525818.052337,355328,0.6012879014015198
1687526011.131718,361472,0.6658498048782349
1687526075.647134,363520,0.9123808741569519
1687526206.821346,367616,0.4285714626312256
1687526335.5306299,371712,0.32512450218200684
1687526368.400457,372736,0.8117406368255615
1687526400.2912269,373760,0.8715514540672302
1687526432.91839,374784,0.7664580345153809
1687526464.973737,375808,0.9336873888969421
1687526497.356255,376832,0.6552197337150574
1687526855.1662562,388096,0.4862145781517029
1687527114.739362,396288,0.7308465838432312
1687527244.994297,400384,0.7464140057563782
1687527309.791189,402432,0.5363681316375732
1687527375.626753,404480,0.8124417662620544
1687527472.748037,407552,0.7218722701072693
1687527635.5985339,412672,0.8873696327209473
1687527701.143889,414720,0.6972703337669373
1687527863.734609,419840,0.7334094643592834
1687527993.385522,423936,0.7612475156784058
1687528026.904261,424960,0.9384590983390808
1687528059.9598532,425984,0.6405239701271057
1687528156.914746,429056,0.4510955214500427
1687528255.12325,432128,0.6282156705856323
1687528286.99298,433152,0.6935634016990662
1687528384.952779,436224,0.7472111582756042
1687528417.1386209,437248,0.7467591166496277
1687528547.390551,441344,0.7715634703636169
1687528711.096464,446464,0.9480480551719666
1687528743.5613508,447488,0.6203121542930603
1687528774.984137,448512,0.9565415382385254
1687528840.885835,450560,0.666957437992096
1687528906.071296,452608,0.7527786493301392
1687528970.76882,454656,0.4826309084892273
1687529003.6814358,455680,0.9541750550270081
1687529069.574826,457728,0.661809504032135
1687529199.057018,461824,0.6601794362068176
1687529264.323066,463872,0.7136787176132202
1687529395.1843681,467968,1.0037044286727905
1687529525.472376,472064,0.5170392394065857
1687529557.491251,473088,0.8891589045524597
1687529687.877734,477184,0.9110913872718811
1687529720.525399,478208,0.7589526176452637
1687529785.704014,480256,1.114027500152588
1687529851.633963,482304,1.0062183141708374
1687529981.697108,486400,0.814013659954071
1687530013.4487848,487424,0.8090906739234924
1687530111.5810628,490496,0.7174261808395386
1687530177.573261,492544,0.9811201095581055
1687530209.625344,493568,0.9535185694694519
1687530308.112127,496640,0.7549251914024353
1687530404.619854,499712,0.8082314729690552
1687530437.9189901,500736,0.7138246297836304
1687530470.1826959,501760,1.0456503629684448
1687530535.016224,503808,0.5943793058395386
1687530631.709829,506880,0.8910142779350281
1687530761.9764879,510976,0.6110551953315735
1687530892.223348,515072,0.528068482875824
1687530924.477983,516096,0.9757846593856812
1687531121.0625138,522240,0.5434471964836121
1687531154.292531,523264,0.8938543796539307
1687531189.72399,524288,0.69565349817276
1687531223.23544,525312,0.5953018069267273
1687531255.9606001,526336,0.8279575705528259
1687531288.061602,527360,0.5214245915412903
1687531385.242951,530432,0.7397273182868958
1687531418.671927,531456,0.38686656951904297
1687531450.7122188,532480,0.7761295437812805
1687531910.152184,546816,0.8503404855728149
1687531943.61451,547840,0.7335959672927856
1687532009.367,549888,0.7054186463356018
1687532042.401549,550912,0.5535180568695068
1687532074.9801888,551936,0.7164017558097839
1687532140.503062,553984,0.7921888828277588
1687532205.3455942,556032,0.9259799718856812
1687532270.599827,558080,0.9206875562667847
1687532336.3259919,560128,0.8632000684738159
1687532369.3184278,561152,0.8006529211997986
1687532467.4889112,564224,0.8511002659797668
1687532532.778584,566272,0.8193506598472595
1687532631.452162,569344,0.9167062640190125
1687532664.37847,570368,0.75433748960495
1687532861.35277,576512,0.9242491126060486
1687532893.8455522,577536,0.7414703369140625
1687532927.7935848,578560,0.878138542175293
1687533058.37395,582656,0.8369208574295044
1687533156.610154,585728,0.9399204254150391
1687533222.6737092,587776,0.9679180979728699
1687533321.8382971,590848,0.6892805695533752
1687533454.9981718,594944,0.6203994750976562
1687533586.003118,599040,0.6923050880432129
1687533618.7177138,600064,0.9648575186729431
1687533717.2170508,603136,0.879781186580658
1687533782.8133929,605184,1.1067917346954346
1687533815.132989,606208,0.722784161567688
1687533913.9786339,609280,0.8529503345489502
1687533979.888531,611328,0.9742570519447327
1687534046.301047,613376,0.6652728319168091
1687534078.752752,614400,1.03866708278656
1687534177.397523,617472,0.8230431079864502
1687534209.748076,618496,0.8618516325950623
1687534374.989502,623616,0.9378910660743713
1687534540.245974,628736,0.8736330270767212
1687534572.888261,629760,0.971936821937561
1687534638.526925,631808,0.8425776958465576
1687534770.811659,635904,0.7181838750839233
1687534837.135989,637952,0.9185850620269775
1687534869.820431,638976,0.8059666156768799
1687534968.253176,642048,1.0042880773544312
1687535033.029834,644096,0.8497838377952576
1687535066.697752,645120,0.8645222187042236
1687535197.6877508,649216,0.6500621438026428
1687535328.367638,653312,0.6377561092376709
1687535426.457255,656384,0.7905852794647217
1687535459.581355,657408,0.8489471673965454
1687535492.3756192,658432,0.8731653690338135
1687535525.481659,659456,1.0258302688598633
1687535558.788805,660480,0.94636470079422
1687535724.169837,665600,1.0329203605651855
1687535790.31274,667648,0.8359238505363464
1687535823.413651,668672,1.0576032400131226
1687535888.817931,670720,0.6314440965652466
1687535922.776038,671744,0.6663795709609985
1687536020.957707,674816,0.5904095768928528
1687536086.965822,676864,0.8992592096328735
1687536318.9535842,684032,0.7923997044563293
1687536418.38032,687104,0.9799913763999939
1687536586.0594392,692224,0.7683420181274414
1687536619.299285,693248,0.658439040184021
1687536750.8687239,697344,0.7503584027290344
1687536851.530299,700416,1.0419645309448242
1687536884.624604,701440,1.1809096336364746
1687536984.630018,704512,1.046979546546936
1687537150.885891,709632,0.7114193439483643
1687537216.757302,711680,0.931930661201477
1687537283.859295,713728,1.0306373834609985
1687537318.0110369,714752,0.9018860459327698
1687537384.434487,716800,0.9371822476387024
1687537484.719136,719872,0.8919214010238647
1687537518.682527,720896,1.2188231945037842
1687537585.870819,722944,0.9678797721862793
1687537753.181775,728064,0.8960819840431213
1687537819.6211572,730112,1.0668178796768188
1687537920.127753,733184,0.9258788228034973
1687537987.404639,735232,0.8463925719261169
1687538087.751101,738304,0.9651473760604858
1687538122.331328,739328,0.883107602596283
1687538189.65478,741376,1.1237181425094604
1687538257.0676649,743424,0.8294230103492737
1687538290.660471,744448,0.6618842482566833
1687538357.847532,746496,0.7863816022872925
1687538391.47316,747520,0.958270788192749
1687538459.059432,749568,0.8631861209869385
1687538492.5381298,750592,1.127684235572815
1687538525.7183502,751616,0.7838080525398254
1687538694.833571,756736,0.7583143711090088
1687538829.661397,760832,1.0695164203643799
1687538897.019903,762880,0.9130386710166931
1687539300.481602,775168,0.953016459941864
1687539367.823931,777216,0.8805038928985596
1687539569.725565,783360,0.7500406503677368
1687539604.2535481,784384,0.8077858090400696
1687539704.4764879,787456,0.6818012595176697
1687539738.161887,788480,1.076351523399353
1687539838.200109,791552,0.7743831872940063
1687539938.1438458,794624,1.0213788747787476
1687539971.638033,795648,0.594474732875824
1687540038.682177,797696,0.8192046284675598
1687540071.845793,798720,0.8530994653701782
1687540105.709909,799744,1.2722493410110474
1687540138.691752,800768,0.9298645257949829
1687540173.197788,801792,1.002403736114502
1687540375.845037,807936,0.8643808960914612
1687540477.8835719,811008,0.9312024712562561
1687540923.46457,824320,1.023654818534851
1687540956.7572951,825344,0.8505253195762634
1687540991.894186,826368,0.9817591905593872
1687541025.8040278,827392,1.1371006965637207
1687541128.036222,830464,1.0194309949874878
1687541402.498166,838656,1.0438364744186401
1687541436.044968,839680,0.9085153937339783
1687541708.3525639,847872,0.9736210107803345
1687541742.783475,848896,0.8624799251556396
1687541877.844788,852992,0.9358394742012024
1687541912.1690261,854016,0.8306488394737244
1687541981.050219,856064,0.9436793923377991
1687542014.994966,857088,1.0537667274475098
1687542117.875639,860160,1.0433903932571411
1687542151.800855,861184,0.9736610651016235
1687542254.6242938,864256,0.9214352965354919
1687542322.8771589,866304,0.9491613507270813
1687542494.7772338,871424,0.7427460551261902
1687542527.553422,872448,0.8444843888282776
1687542629.3141701,875520,0.8935343027114868
1687542732.314547,878592,0.728173017501831
1687542834.971175,881664,1.0317343473434448
1687542903.9067369,883712,0.7974986433982849
1687543006.244575,886784,0.7262724041938782
1687543041.1371908,887808,1.0547267198562622
1687543178.080682,891904,0.8850807547569275
1687543212.0060391,892928,0.9459848999977112
1687543658.6863701,906240,0.9736302495002747
1687543727.872607,908288,1.0042908191680908
1687543865.375187,912384,1.0941730737686157
1687543932.669419,914432,1.0372118949890137
1687544034.745076,917504,0.7128919363021851
1687544103.566462,919552,0.9395929574966431
1687544136.935337,920576,0.8993673920631409
1687544237.953214,923648,0.9554257392883301
1687544271.658514,924672,0.815538227558136
1687544441.444343,929792,0.7960281372070312
1687544475.97981,930816,0.9985066056251526
1687544543.94347,932864,0.8584831357002258
1687544577.552808,933888,0.8431030511856079
1687544679.939562,936960,0.9041935205459595
1687544816.73161,941056,0.9432737827301025
1687544850.4442828,942080,1.0225001573562622
1687544919.279458,944128,1.0722559690475464
